STU074,Mathematics,Core,87.00
STU074,Physics,Core,80.00
STU074,Chemistry,Core,70.00
STU074,English,Core,77.00
STU074,History,Elective,69.00
STU074,Art,Elective,77.00
STU073,Mathematics,Core,62.00
STU073,Physics,Core,97.00
STU073,Chemistry,Core,96.00
STU073,English,Core,85.00
STU073,Music,Elective,97.00
STU073,History,Elective,82.00
STU076,Mathematics,Core,98.00
STU076,Physics,Core,79.00
STU076,Chemistry,Core,97.00
STU076,English,Core,76.00
STU076,History,Elective,86.00
STU076,Music,Elective,97.00
STU075,Mathematics,Core,81.00
STU075,Physics,Core,83.00
STU075,Chemistry,Core,82.00
STU075,English,Core,70.00
STU075,Art,Elective,92.00
STU075,History,Elective,65.00
STU078,Mathematics,Core,84.00
STU078,Physics,Core,92.00
STU078,Chemistry,Core,76.00
STU078,English,Core,80.00
STU078,Music,Elective,98.00
STU078,Art,Elective,73.00
STU077,Mathematics,Core,81.00
STU077,Physics,Core,62.00
STU077,Chemistry,Core,71.00
STU077,English,Core,91.00
STU077,History,Elective,80.00
STU077,Computer Science,Elective,88.00
STU079,Mathematics,Core,68.00
STU079,Physics,Core,90.00
STU079,Chemistry,Core,61.00
STU079,English,Core,90.00
STU079,Computer Science,Elective,83.00
STU079,History,Elective,86.00
STU070,Mathematics,Core,69.00
STU070,Physics,Core,64.00
STU070,Chemistry,Core,74.00
STU070,English,Core,66.00
STU070,History,Elective,81.00
STU070,Art,Elective,80.00
STU072,Mathematics,Core,99.00
STU072,Physics,Core,91.00
STU072,Chemistry,Core,76.00
STU072,English,Core,90.00
STU072,Art,Elective,100.00
STU072,Computer Science,Elective,84.00
STU071,Mathematics,Core,67.00
STU071,Physics,Core,83.00
STU071,Chemistry,Core,98.00
STU071,English,Core,62.00
STU071,Art,Elective,63.00
STU071,History,Elective,76.00
STU059,Mathematics,Core,64.00
STU059,Physics,Core,62.00
STU059,Chemistry,Core,63.00
STU059,English,Core,73.00
STU059,Art,Elective,95.00
STU059,History,Elective,85.00
STU063,Mathematics,Core,81.00
STU063,Physics,Core,63.00
STU063,Chemistry,Core,67.00
STU063,English,Core,95.00
STU063,Art,Elective,80.00
STU063,History,Elective,65.00
STU062,Mathematics,Core,87.00
STU062,Physics,Core,67.00
STU062,Chemistry,Core,69.00
STU062,English,Core,83.00
STU062,Music,Elective,70.00
STU062,Art,Elective,89.00
STU065,Mathematics,Core,72.00
STU065,Physics,Core,69.00
STU065,Chemistry,Core,77.00
STU065,English,Core,60.00
STU065,Computer Science,Elective,62.00
STU065,History,Elective,85.00
STU064,Mathematics,Core,88.00
STU064,Physics,Core,71.00
STU064,Chemistry,Core,79.00
STU064,English,Core,71.00
STU064,History,Elective,75.00
STU064,Music,Elective,97.00
STU067,Mathematics,Core,72.00
STU067,Physics,Core,80.00
STU067,Chemistry,Core,67.00
STU067,English,Core,64.00
STU067,Music,Elective,87.00
STU067,Computer Science,Elective,64.00
STU100,Mathematics,Core,65.00
STU100,Physics,Core,78.00
STU100,Chemistry,Core,65.00
STU100,English,Core,97.00
STU100,History,Elective,93.00
STU100,Art,Elective,98.00
STU066,Mathematics,Core,99.00
STU066,Physics,Core,80.00
STU066,Chemistry,Core,72.00
STU066,English,Core,99.00
STU066,Computer Science,Elective,87.00
STU066,History,Elective,76.00
STU069,Mathematics,Core,64.00
STU069,Physics,Core,84.00
STU069,Chemistry,Core,60.00
STU069,English,Core,63.00
STU069,Computer Science,Elective,67.00
STU069,Art,Elective,69.00
STU068,Mathematics,Core,91.00
STU068,Physics,Core,81.00
STU068,Chemistry,Core,69.00
STU068,English,Core,100.00
STU068,History,Elective,75.00
STU068,Computer Science,Elective,63.00
STU061,Mathematics,Core,73.00
STU061,Physics,Core,64.00
STU061,Chemistry,Core,89.00
STU061,English,Core,95.00
